"AtheleteName","Weight","Height","Gender","Mean_Deviation_Stride","Vertical_upright_angle","Left_elbow","right_elbow","left_knee","right_knee"
"Usian Bolt ","95","194","1","0.0348","0.89","86.87","90.37","162.3","160.7"
"Tyson Gay","78","180","1","0.0291","1.01","84.12","92.12","155.8","156.2"
"Yohan Blake","78","185","1","0.0133","0.7","94.4","87.7","158.4","157.9"
"Asafa Powell","88","191","1","0.0237","2.07","77.07","93.26","160.1","159.5"
"Justin Gatlin","83","185","1","0.0821","1.3","85.67","96.72","157.5","158.2"
"Christian Coleman","73","175","1","0.02386","2.53","73.64","93.21","154.2","153.8"
"Trayvon Bromell","73","175","1","0.034","1.23","80.12","87.37","155.7","156.1"
"Fred Kerley","80","173","1","0.0201","1.7","81.43","89.21","159.2","160.4"
"Maurice Greene","80","175","1","0.031","2.12","83.12","87.42","156.8","157.3"
"Noah Lyles ","81","188","1","0.0312","1.42","85.123","89.092","161.4","160.2"
"Donovan Balley","85","185","1","0.0134","1.45","81.42","91.32","158.6","159.1"
"Bruny Surin","82","185","1","0.034","1.42","84.14","87.023","157.4","156.9"
"Ronnie Baker","75","183","1","0.0723","0.94","83.12","91.75","155.2","156.5"
"Akani SIMBINE","74","185","1","0.021","1.23","84.54","91.08","158.1","157.7"
"Leroy BURRELL","78","183","1","0.032","0.978","82.12","87.34","159.4","158.8"
"Olusoji Adetokunbo FASUBA","75","180","1","0.0431","1.052","84.75","89.746","157.2","158.3"
"Michael RODGERS","75","170","1","0.045","2.0401","79.34","84.38","156.1","155.6"
"Marvin BRACY","77","175","1","0.083","2.0052","85.094","84.59","155.5","156.8"
